Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
42,80.235,80.775,1.125,1.120,106.67,107.14,60.89,63.39,39.11,36.61,8.03,7.04,60.58,55.63,31.39,37.32,24.20,24.20,1.010,0.961,1.035,0.872,344.4,350.4,3.355,3.071,-3.8,-2.6,23.26,16.36,-58.99,-74.89,0.075,-0.069,111.87,110.58,0.230,0.263,0.043,0.048,0.025,0.031,0.162,0.141
43,81.330,81.875,1.095,1.100,109.59,109.09,61.64,61.36,38.36,38.64,8.89,7.41,60.74,62.22,30.37,30.37,21.78,21.78,1.021,0.953,0.910,0.879,357.3,297.5,3.342,3.107,4.1,-2.9,20.79,16.75,-59.65,-60.46,0.040,-0.030,107.10,107.47,0.247,0.229,0.061,0.048,0.033,0.028,0.152,0.132
44,82.455,83.040,1.125,1.165,106.67,103.00,59.56,63.52,40.44,36.48,9.70,6.76,62.69,60.81,27.61,32.43,26.09,26.09,0.801,1.027,0.783,0.912,332.9,322.4,2.793,3.142,-3.6,2.9,18.79,17.79,-53.47,-65.95,0.051,-0.058,115.51,107.64,0.220,0.213,0.045,0.021,0.025,0.005,0.135,0.128
45,83.605,84.180,1.150,1.140,104.35,105.26,63.04,62.28,36.96,37.72,7.59,7.04,60.00,58.45,32.41,34.51,24.67,24.67,0.976,1.028,0.874,0.925,349.9,336.4,3.162,3.184,1.6,0.1,21.03,15.53,-65.07,-71.50,0.053,-0.063,109.74,109.05,0.259,0.250,0.061,0.040,0.030,0.017,0.148,0.121
46,84.740,85.330,1.135,1.150,105.73,104.35,62.56,61.30,37.44,38.70,9.15,7.09,61.97,57.45,28.87,35.46,24.45,24.45,1.062,1.064,0.943,0.929,338.5,339.2,3.416,3.225,2.8,-0.3,21.50,17.42,-60.00,-71.01,0.040,-0.051,107.25,106.31,0.243,0.269,0.056,0.065,0.033,0.037,0.154,0.141
47,85.885,86.460,1.145,1.130,104.80,106.19,63.32,61.95,36.68,38.05,11.03,7.14,57.24,59.29,31.72,33.57,24.12,24.12,1.070,0.956,0.936,0.890,361.4,347.5,3.308,3.171,-1.5,5.6,21.24,19.64,-64.82,-69.64,0.049,-0.060,106.69,112.14,0.266,0.282,0.070,0.080,0.039,0.058,0.157,0.158
48,87.025,87.585,1.140,1.125,105.26,106.67,61.84,62.67,38.16,37.33,10.64,7.09,58.16,58.16,31.21,34.75,25.45,25.45,1.060,0.959,0.895,0.888,325.7,339.8,3.298,3.076,-0.8,-5.1,20.30,20.90,-62.90,-68.92,0.052,-0.053,106.33,109.73,0.253,0.255,0.059,0.053,0.028,0.031,0.136,0.148
49,88.145,88.720,1.120,1.135,107.14,105.73,62.95,63.44,37.05,36.56,9.22,6.94,60.99,57.64,29.79,35.42,25.44,25.44,1.023,0.948,0.955,0.870,373.8,385.5,3.382,3.135,0.7,3.5,22.59,21.79,-60.13,-74.93,0.045,-0.048,109.21,113.07,0.244,0.297,0.055,0.082,0.033,0.060,0.164,0.170
50,89.285,89.865,1.140,1.145,105.26,104.80,61.84,62.45,38.16,37.55,9.22,6.99,59.57,59.44,31.21,33.57,25.33,25.33,1.042,1.032,0.966,0.922,344.3,343.4,3.317,3.118,3.2,-1.5,21.80,17.69,-61.88,-72.25,0.054,-0.062,108.45,107.19,0.244,0.255,0.053,0.046,0.028,0.031,0.157,0.132
51,90.430,91.000,1.145,1.135,104.80,105.73,62.88,61.23,37.12,38.77,9.72,7.19,59.72,59.71,30.56,33.09,23.68,23.68,1.001,0.979,0.923,0.890,356.5,343.4,3.329,3.139,-2.5,-2.1,19.67,18.09,-62.43,-70.02,0.069,-0.060,109.63,109.74,0.257,0.265,0.065,0.062,0.034,0.039,0.137,0.148
52,91.570,92.145,1.140,1.145,105.26,104.80,62.28,62.88,37.72,37.12,9.86,6.94,58.45,59.03,31.69,34.03,25.22,25.22,1.010,0.993,0.927,0.899,364.8,376.7,3.389,3.136,-0.2,-0.2,16.23,19.02,-62.59,-77.37,0.061,-0.071,108.41,110.24,0.263,0.291,0.067,0.069,0.035,0.041,0.138,0.152
53,92.700,93.275,1.130,1.130,106.19,106.19,62.83,61.95,37.17,38.05,7.04,7.14,61.97,59.29,30.99,33.57,24.24,24.24,1.065,1.069,0.985,0.989,359.1,342.1,3.426,3.245,-0.8,0.9,20.88,17.49,-66.87,-69.84,0.060,-0.080,108.37,107.67,0.268,0.250,0.065,0.049,0.031,0.022,0.151,0.128
54,93.855,94.410,1.155,1.135,103.90,105.73,61.47,62.56,38.53,37.44,9.86,8.45,59.15,56.34,30.99,35.21,22.91,22.91,1.029,1.018,0.909,0.927,336.1,345.7,3.233,3.098,2.9,0.4,19.98,16.56,-65.21,-76.16,0.055,-0.067,108.86,107.56,0.259,0.277,0.063,0.058,0.037,0.031,0.150,0.123
55,94.990,95.545,1.135,1.135,105.73,105.73,60.35,63.00,39.65,37.00,8.76,6.99,61.31,58.04,29.93,34.97,24.55,24.55,1.061,0.970,0.950,0.874,327.1,355.5,3.290,3.118,-2.4,0.3,20.95,18.82,-61.73,-72.13,0.062,-0.052,108.31,111.36,0.252,0.246,0.064,0.041,0.036,0.018,0.150,0.145
56,96.110,96.695,1.120,1.150,107.14,104.35,62.05,61.74,37.95,38.26,10.79,7.04,58.27,59.86,30.94,33.10,25.43,25.43,0.983,0.888,0.908,0.821,343.3,335.6,3.209,2.911,0.5,-0.3,20.33,20.00,-62.75,-69.62,0.045,-0.059,107.91,113.79,0.255,0.262,0.062,0.062,0.027,0.042,0.140,0.153
57,97.270,97.855,1.160,1.160,103.45,103.45,63.36,62.50,36.64,37.50,8.84,8.97,59.86,55.17,31.29,35.86,25.54,25.54,1.059,1.059,0.904,0.966,347.7,343.2,3.406,3.188,-0.4,5.3,22.49,19.87,-66.08,-70.80,0.059,-0.086,109.04,109.73,0.257,0.260,0.058,0.053,0.031,0.031,0.161,0.149
58,98.425,98.995,1.155,1.140,103.90,105.26,63.20,63.16,36.80,36.84,9.59,6.94,58.90,58.33,31.51,34.72,25.11,25.11,1.050,1.009,0.962,0.914,358.9,352.9,3.295,3.149,0.7,-2.6,21.87,19.48,-65.61,-73.39,0.067,-0.075,107.92,110.90,0.249,0.277,0.052,0.062,0.028,0.041,0.156,0.157
59,99.560,100.125,1.135,1.130,105.73,106.19,62.11,62.39,37.89,37.61,9.22,7.09,60.28,60.28,30.50,32.62,24.89,24.89,1.041,0.996,0.932,0.909,337.5,338.5,3.316,3.128,2.7,-2.5,18.63,17.27,-62.76,-69.91,0.042,-0.066,107.48,108.62,0.237,0.255,0.045,0.053,0.017,0.034,0.132,0.139
60,100.705,101.265,1.145,1.140,104.80,105.26,62.01,61.40,37.99,38.60,7.04,7.14,62.68,60.71,30.28,32.14,22.12,22.12,1.121,1.058,0.998,0.944,326.1,334.0,3.479,3.234,0.1,2.1,17.83,19.14,-63.96,-67.50,0.053,-0.057,105.20,109.56,0.254,0.236,0.060,0.046,0.025,0.026,0.131,0.149
61,101.835,102.395,1.130,1.130,106.19,106.19,61.06,63.27,38.94,36.73,7.25,7.69,62.32,58.74,30.43,33.57,24.11,24.11,0.990,1.072,0.927,0.968,344.2,341.5,3.273,3.275,0.4,0.6,21.60,18.80,-63.51,-71.33,0.072,-0.044,113.06,107.78,0.260,0.269,0.067,0.062,0.034,0.045,0.153,0.148
62,102.955,103.515,1.120,1.120,107.14,107.14,61.16,62.95,38.84,37.05,9.49,7.09,59.85,58.87,30.66,34.04,25.00,25.00,1.000,1.067,0.915,0.968,343.1,348.4,3.254,3.340,-1.7,1.7,20.75,20.05,-63.19,-72.44,0.035,-0.044,108.06,106.86,0.255,0.272,0.062,0.059,0.031,0.040,0.148,0.152
63,104.095,104.640,1.140,1.125,105.26,106.67,61.40,63.56,38.60,36.44,9.29,6.99,60.71,57.34,30.00,35.66,23.98,23.98,1.080,1.038,0.963,0.951,343.1,364.4,3.382,3.374,-1.7,-0.2,20.84,19.42,-61.98,-74.55,0.050,-0.060,106.44,108.90,0.252,0.253,0.062,0.038,0.029,0.019,0.143,0.145
64,105.200,105.775,1.105,1.135,108.60,105.73,61.09,61.23,38.91,38.77,7.41,7.19,60.74,57.55,31.85,35.25,23.25,23.25,1.022,1.092,0.968,0.988,349.8,327.6,3.386,3.276,2.3,-1.7,19.81,17.57,-63.08,-70.40,0.054,-0.064,108.09,107.00,0.259,0.251,0.065,0.047,0.031,0.026,0.141,0.133
65,106.340,106.890,1.140,1.115,105.26,107.62,61.84,62.33,38.16,37.67,8.51,7.19,58.87,56.83,32.62,35.97,24.44,24.44,0.992,0.999,0.901,0.918,343.4,340.0,3.285,3.107,-2.8,0.7,21.69,14.29,-65.27,-70.42,0.064,-0.068,113.69,107.06,0.247,0.251,0.050,0.049,0.020,0.023,0.152,0.105
