Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
89,150.355,149.735,1.210,1.220,99.17,98.36,64.46,68.44,35.54,31.56,12.82,6.59,62.82,64.07,24.36,29.34,31.67,31.67,1.215,1.095,1.026,0.878,329.5,387.7,3.462,3.432,2.3,4.3,22.81,29.51,-57.88,-66.42,0.033,-0.019,105.08,106.31,0.278,0.297,0.048,0.032,0.014,0.006,0.173,0.173
90,151.545,150.935,1.190,1.200,100.84,100.00,65.55,67.50,34.45,32.50,10.26,11.11,62.82,61.73,26.92,27.16,32.23,32.23,1.091,1.118,0.922,0.959,361.8,399.0,3.327,3.460,0.3,-2.4,23.43,30.15,-62.19,-61.28,0.025,0.027,106.80,107.35,0.309,0.287,0.065,0.040,0.023,0.030,0.183,0.217
91,152.755,152.145,1.210,1.210,99.17,99.17,65.29,66.12,34.71,33.88,9.49,11.88,62.66,60.62,27.85,27.50,31.30,31.30,1.172,1.054,0.968,0.970,345.7,390.4,3.451,3.278,-2.8,-0.7,25.71,30.71,-65.63,-63.87,0.041,-0.066,105.56,114.12,0.295,0.295,0.038,0.041,0.007,0.027,0.198,0.228
92,153.980,153.375,1.225,1.230,97.96,97.56,67.76,65.45,32.24,34.55,10.84,11.80,63.25,62.11,25.90,26.09,32.50,32.50,1.049,1.146,0.884,0.930,381.8,369.9,3.414,3.380,0.8,2.1,24.54,27.55,-64.96,-59.82,0.023,0.036,107.83,107.46,0.300,0.291,0.050,0.047,0.019,0.024,0.193,0.195
93,155.215,154.575,1.235,1.200,97.17,100.00,64.78,65.42,35.22,34.58,10.00,7.01,63.12,64.33,26.88,28.66,30.56,30.56,1.135,1.006,0.954,0.927,344.0,404.9,3.390,3.310,1.5,-3.7,25.57,29.41,-67.25,-62.97,0.046,-0.020,108.26,113.47,0.313,0.298,0.055,0.050,0.016,0.034,0.203,0.223
94,156.440,155.835,1.225,1.260,97.96,95.24,66.53,65.08,33.47,34.92,10.43,10.98,61.96,61.59,27.61,27.44,30.65,30.65,1.117,1.100,0.935,0.907,380.3,379.1,3.514,3.366,-2.4,3.5,25.62,29.63,-67.02,-65.20,0.030,-0.048,110.17,115.40,0.312,0.336,0.054,0.080,0.025,0.055,0.213,0.225
95,157.690,157.075,1.250,1.240,96.00,96.77,66.40,63.71,33.60,36.29,11.45,10.13,63.86,62.03,24.70,27.85,30.74,30.74,1.147,0.957,0.942,0.828,368.9,365.6,3.444,3.072,1.7,-2.4,25.20,30.51,-60.78,-58.77,0.022,0.040,106.05,117.32,0.286,0.277,0.049,0.037,0.021,0.015,0.194,0.207
96,158.910,158.295,1.220,1.220,98.36,98.36,64.34,65.16,35.66,34.84,9.55,13.21,63.69,58.49,26.75,28.30,30.34,30.34,1.104,1.134,0.943,1.005,368.4,341.8,3.392,3.316,1.1,7.3,27.84,25.78,-62.66,-60.63,0.053,-0.039,111.41,109.25,0.318,0.296,0.076,0.054,0.048,0.035,0.235,0.198
97,160.095,159.465,1.185,1.170,101.27,102.56,62.45,67.52,37.55,32.48,10.81,8.86,62.84,63.29,26.35,27.85,32.48,32.48,1.246,1.104,1.081,1.006,351.0,419.9,3.447,3.598,1.1,0.5,26.77,28.30,-62.01,-68.09,0.059,-0.117,107.06,117.21,0.302,0.314,0.061,0.047,0.032,0.030,0.225,0.202
98,161.280,160.635,1.185,1.170,101.27,102.56,57.81,70.51,42.19,29.49,13.87,9.70,65.69,61.82,20.44,28.48,24.81,24.81,1.069,1.056,0.918,1.004,344.9,374.4,,3.485,1.1,1.1,29.09,25.59,-54.93,-65.07,0.043,-0.061,109.63,111.33,0.261,0.304,,0.045,,0.031,,0.189
99,162.590,161.945,1.310,1.310,91.60,91.60,64.50,62.98,35.50,37.02,11.24,7.27,63.31,66.67,25.44,26.06,30.43,30.43,1.143,1.133,0.895,0.921,324.8,341.2,3.146,2.985,0.1,-0.5,26.37,32.43,-56.98,-51.79,0.015,0.042,106.00,110.35,0.246,0.266,0.023,0.048,0.001,0.035,0.199,0.225
100,163.870,163.210,1.280,1.265,93.75,94.86,62.11,67.19,37.89,32.81,9.43,12.35,64.15,59.41,26.42,28.24,27.76,27.76,1.082,1.076,0.883,0.902,343.0,380.3,3.177,3.380,-2.5,-3.4,33.78,27.23,-61.81,-60.21,0.080,0.056,113.50,113.20,0.287,0.281,0.041,0.036,0.016,0.016,0.260,0.191
101,165.175,164.525,1.305,1.315,91.95,91.25,65.52,64.64,34.48,35.36,14.62,8.82,58.48,63.53,26.90,27.65,29.57,29.57,1.130,1.204,0.918,1.004,345.7,366.2,3.316,3.315,-1.9,-0.9,26.50,30.84,-67.85,-65.95,0.027,-0.134,108.44,115.79,0.307,0.337,0.043,0.083,0.015,0.049,0.216,0.226
102,166.455,165.810,1.280,1.285,93.75,93.39,66.41,64.59,33.59,35.41,5.88,14.46,68.24,57.23,25.88,28.31,31.50,31.50,1.130,1.207,0.903,0.973,349.1,320.8,3.281,3.209,1.5,0.5,26.09,27.69,-64.35,-63.88,0.038,-0.026,108.73,105.63,0.303,0.312,0.055,0.062,0.031,0.026,0.225,0.189
103,167.690,167.080,1.235,1.270,97.17,94.49,67.21,65.35,32.79,34.65,9.64,9.64,63.25,62.05,27.11,28.31,33.07,33.07,1.113,1.022,0.934,0.850,371.0,348.9,3.464,3.152,0.9,0.3,21.52,27.35,-67.66,-61.63,0.023,0.018,105.57,112.43,0.303,0.301,0.045,0.055,0.010,0.022,0.173,0.184
104,168.910,168.335,1.220,1.255,98.36,95.62,66.39,65.34,33.61,34.66,8.02,6.10,66.67,67.07,25.31,26.83,29.87,29.87,1.146,1.182,0.958,0.951,378.4,346.8,3.553,3.361,3.8,-3.6,25.65,29.29,-66.36,-60.84,0.019,-0.045,107.19,108.12,0.317,0.307,0.059,0.062,0.011,0.032,0.186,0.204
105,170.080,169.490,1.170,1.155,102.56,103.90,64.53,65.37,35.47,34.63,10.60,10.60,61.59,58.28,27.81,31.13,30.49,30.49,0.954,0.997,0.417,0.938,366.7,407.7,3.215,3.377,5.1,1.5,25.85,30.06,-61.55,-66.39,0.031,0.033,114.33,119.80,0.296,0.299,0.035,0.038,0.003,0.029,0.183,0.226
106,,170.720,,1.230,,97.56,,64.23,,35.77,,9.49,,60.76,,29.75,,,,0.843,,0.414,,286.3,,,,6.2,,2.63,,-59.30,,-0.040,,109.57,,0.272,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
