Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
79,138.365,138.970,1.245,1.220,96.39,98.36,63.05,63.52,36.95,36.48,10.19,8.39,60.51,62.58,29.30,29.03,28.69,28.69,1.078,1.139,0.879,0.946,385.8,351.4,3.090,3.190,-6.6,-1.2,21.81,23.26,-72.84,-69.48,0.069,-0.056,107.93,106.97,0.267,0.263,0.061,0.060,0.036,0.040,0.141,0.138
80,139.550,140.155,1.185,1.185,101.27,101.27,66.24,64.56,33.76,35.44,10.19,9.15,60.51,61.44,29.30,29.41,31.60,31.60,1.227,1.159,1.023,0.954,357.2,335.4,3.361,3.160,4.7,-1.8,20.99,23.87,-71.49,-67.68,0.022,-0.028,103.65,105.31,0.246,0.262,0.042,0.061,0.022,0.034,0.129,0.128
81,140.800,141.415,1.250,1.260,96.00,95.24,65.20,64.29,34.80,35.71,12.88,12.96,57.67,58.64,29.45,28.40,22.18,22.18,1.257,1.083,1.019,0.893,400.8,402.1,3.384,3.050,1.5,-1.0,24.44,23.42,-75.25,-72.22,0.019,-0.015,105.64,106.25,0.257,0.253,0.048,0.042,0.038,0.015,0.168,0.125
82,142.040,142.640,1.240,1.225,96.77,97.96,58.47,58.78,41.53,41.22,12.41,10.42,65.52,68.06,22.07,21.53,17.28,17.28,1.105,1.125,0.925,0.934,375.3,339.0,3.016,3.110,-2.1,5.7,21.74,24.61,-72.00,-68.75,0.045,-0.075,105.95,106.54,0.258,0.266,0.055,0.064,0.033,0.038,0.134,0.135
83,143.255,143.855,1.215,1.215,98.77,98.77,58.85,63.37,41.15,36.63,10.49,9.74,65.03,61.69,24.48,28.57,28.11,28.11,1.077,0.968,0.896,0.839,380.6,378.1,3.085,2.990,0.1,-2.6,20.83,23.83,-72.97,-71.00,0.059,-0.031,108.25,112.08,0.254,0.260,0.051,0.055,0.034,0.032,0.148,0.135
84,144.500,145.095,1.245,1.240,96.39,96.77,63.86,63.71,36.14,36.29,9.43,10.76,59.12,62.03,31.45,27.22,21.81,21.81,1.152,1.129,0.930,0.923,376.2,349.4,3.177,3.239,0.4,1.5,22.10,23.59,-74.83,-69.10,0.051,-0.047,106.42,105.78,0.265,0.258,0.056,0.055,0.033,0.030,0.149,0.131
85,145.715,146.315,1.215,1.220,98.77,98.36,58.85,63.93,41.15,36.07,10.49,9.62,67.13,63.46,22.38,26.92,26.12,26.12,1.083,1.044,0.935,0.874,344.6,362.1,3.065,3.096,1.4,3.3,19.12,25.60,-67.67,-68.17,0.051,-0.036,105.86,107.76,0.252,0.268,0.057,0.065,0.025,0.042,0.128,0.133
86,146.940,147.535,1.225,1.220,97.96,98.36,62.04,63.52,37.96,36.48,7.89,10.32,62.50,60.65,29.61,29.03,26.86,26.86,1.127,1.104,0.911,0.910,355.2,342.8,3.140,3.053,1.4,0.5,21.50,22.52,-70.71,-69.70,0.037,-0.042,106.07,106.97,0.266,0.267,0.068,0.067,0.040,0.054,0.146,0.149
87,148.150,148.750,1.210,1.215,99.17,98.77,63.64,63.79,36.36,36.21,9.09,9.68,61.69,62.58,29.22,27.74,27.16,27.16,1.097,1.095,0.920,0.907,358.5,362.5,3.111,3.170,-3.1,-2.2,19.87,25.32,-71.45,-67.83,0.048,0.013,105.09,106.39,0.246,0.254,0.046,0.053,0.025,0.029,0.131,0.138
88,149.365,149.975,1.215,1.225,98.77,97.96,63.37,62.86,36.63,37.14,7.79,11.04,62.34,62.34,29.87,26.62,21.31,21.31,1.118,1.122,0.919,0.937,348.5,354.1,3.087,3.113,-0.5,2.0,20.27,23.23,-75.19,-67.68,0.022,-0.045,105.27,105.76,0.260,0.263,0.050,0.064,0.027,0.041,0.134,0.131
89,150.585,151.195,1.220,1.220,98.36,98.36,58.61,62.30,41.39,37.70,9.79,9.21,67.83,61.18,22.38,29.61,22.03,22.03,1.089,1.072,0.910,0.890,376.2,352.3,,3.021,-1.1,1.6,20.25,22.12,-72.22,-69.29,0.039,-0.047,105.77,106.81,0.255,0.254,,0.053,,0.036,,0.125
90,151.765,152.410,1.180,1.215,101.69,98.77,61.02,62.96,38.98,37.04,7.64,9.80,70.14,60.78,22.22,29.41,23.51,23.51,1.101,1.078,0.926,0.894,381.4,345.9,,3.022,-2.1,-2.1,20.78,22.63,-72.23,-68.55,0.035,-0.030,106.69,105.72,0.253,0.248,,0.046,,0.026,,0.131
91,153.020,153.625,1.255,1.215,95.62,98.77,59.36,62.55,40.64,37.45,14.09,9.87,63.76,61.18,22.15,28.95,26.64,26.64,1.117,1.092,0.921,0.894,367.9,365.4,,3.155,1.3,-1.4,21.84,24.98,-73.73,-70.00,0.043,-0.056,106.02,107.94,0.245,0.264,,0.058,,0.037,,0.137
92,154.240,154.850,1.220,1.225,98.36,97.96,63.93,63.67,36.07,36.33,8.97,11.54,62.18,60.26,28.85,28.21,23.08,23.08,1.136,1.081,0.936,0.910,385.9,356.3,3.139,2.973,2.5,2.4,21.16,24.53,-72.25,-67.66,0.032,-0.048,104.26,106.80,0.257,0.254,0.051,0.053,0.032,0.034,0.135,0.149
93,155.475,156.055,1.235,1.205,97.17,99.59,59.11,65.56,40.89,34.44,9.59,11.39,68.49,60.76,21.92,27.85,29.72,29.72,1.026,1.123,0.837,0.930,398.1,347.5,2.959,3.144,0.0,2.5,22.38,23.50,-75.29,-65.79,0.051,-0.033,107.23,105.42,0.265,0.251,0.054,0.053,0.036,0.032,0.149,0.132
94,156.720,157.320,1.245,1.265,96.39,94.86,63.05,65.22,36.95,34.78,11.46,12.12,61.78,61.21,26.75,26.67,26.32,26.32,1.052,1.162,0.889,0.944,350.2,336.1,3.012,3.235,0.0,2.2,21.06,24.10,-68.36,-68.33,0.041,-0.033,107.13,105.70,0.257,0.269,0.064,0.068,0.036,0.045,0.135,0.135
95,157.955,158.555,1.235,1.235,97.17,97.17,61.94,65.18,38.06,34.82,8.50,9.32,59.48,60.25,32.03,30.43,28.57,28.57,1.157,1.067,0.929,0.870,347.8,351.0,3.166,2.977,1.8,-3.3,21.69,24.32,-71.88,-69.84,0.026,-0.029,106.35,106.10,0.250,0.265,0.046,0.061,0.024,0.038,0.144,0.128
96,159.180,159.780,1.225,1.225,97.96,97.96,63.67,63.27,36.33,36.73,10.26,10.97,60.26,59.35,29.49,29.68,27.24,27.24,1.131,1.144,0.954,0.952,344.3,340.6,3.174,3.200,-0.6,1.1,20.92,24.70,-71.31,-70.74,0.026,-0.031,106.34,105.87,0.259,0.238,0.055,0.033,0.027,0.018,0.135,0.135
97,160.410,161.025,1.230,1.245,97.56,96.39,63.82,63.45,36.18,36.55,8.92,9.49,59.87,61.39,31.21,29.11,26.72,26.72,1.237,1.144,1.004,0.930,377.9,370.5,3.354,3.229,1.1,1.7,24.31,26.54,-74.45,-71.26,0.016,-0.035,105.15,108.29,0.258,0.262,0.049,0.055,0.028,0.029,0.164,0.149
98,161.645,162.265,1.235,1.240,97.17,96.77,63.56,58.87,36.44,41.13,10.83,12.33,59.24,65.75,29.94,21.92,23.98,23.98,1.111,1.240,0.910,1.017,366.7,363.7,3.185,3.372,-2.8,-2.9,23.77,25.44,-80.02,-69.76,0.059,-0.053,109.29,105.85,0.277,0.256,0.063,0.054,0.034,0.033,0.163,0.154
99,162.875,163.475,1.230,1.210,97.56,99.17,65.45,63.64,34.55,36.36,10.56,10.39,60.25,59.09,29.19,30.52,27.94,27.94,1.124,1.162,0.940,0.954,411.9,371.2,3.258,3.200,-1.1,0.3,22.74,26.45,-74.15,-72.53,0.038,-0.034,107.31,106.10,0.263,0.287,0.054,0.077,0.031,0.047,0.152,0.150
100,164.110,164.710,1.235,1.235,97.17,97.17,63.56,64.37,36.44,35.63,8.92,11.95,61.78,59.75,29.30,28.30,28.10,28.10,1.100,1.096,0.911,0.905,381.5,361.0,3.130,3.096,-0.8,2.6,22.36,24.57,-75.23,-69.93,0.060,-0.053,107.85,106.24,0.260,0.258,0.049,0.053,0.034,0.027,0.154,0.134
101,165.320,165.935,1.210,1.225,99.17,97.96,64.46,58.78,35.54,41.22,9.62,11.11,60.26,65.28,30.13,23.61,18.22,18.22,1.125,1.230,0.928,1.024,394.2,357.9,3.205,3.328,5.4,1.9,22.86,25.31,-75.32,-68.93,0.028,-0.058,105.96,106.03,0.272,0.280,0.062,0.077,0.038,0.050,0.153,0.148
102,166.555,167.185,1.235,1.250,97.17,96.00,59.11,59.20,40.89,40.80,9.59,10.14,66.44,65.54,23.97,24.32,24.00,24.00,1.096,1.144,0.883,0.921,377.6,362.8,3.095,3.090,-2.7,-4.7,26.05,23.59,-73.29,-70.54,0.034,-0.034,106.73,105.87,0.264,0.279,0.056,0.075,0.037,0.048,0.169,0.143
103,167.805,168.410,1.250,1.225,96.00,97.96,64.80,62.45,35.20,37.55,12.35,10.46,58.64,62.09,29.01,27.45,27.05,27.05,1.131,1.087,0.924,0.886,391.4,359.9,3.173,3.056,-2.9,1.5,23.17,24.10,-73.28,-68.65,0.038,-0.039,105.13,107.27,0.262,0.276,0.053,0.074,0.034,0.047,0.147,0.147
104,169.025,169.640,1.220,1.230,98.36,97.56,64.75,63.01,35.25,36.99,9.49,10.32,61.39,63.23,29.11,26.45,27.24,27.24,1.021,1.047,0.847,0.870,377.6,352.6,2.976,2.982,2.7,1.5,24.29,22.71,-72.73,-68.75,0.044,-0.039,107.63,107.22,0.246,0.258,0.041,0.058,0.027,0.040,0.149,0.127
