Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
55,107.955,108.580,1.245,1.235,96.39,97.17,64.26,62.35,35.74,37.65,8.75,8.44,63.75,61.69,27.50,29.87,26.80,26.80,1.093,1.069,0.891,0.862,343.3,344.5,2.998,2.990,2.0,2.6,20.13,24.26,-72.96,-67.22,0.059,-0.053,105.82,108.05,0.272,0.246,0.068,0.059,0.043,0.041,0.128,0.168
56,109.205,109.825,1.250,1.245,96.00,96.39,64.00,63.45,36.00,36.55,10.00,10.76,61.88,60.13,28.12,29.11,27.13,27.13,1.064,1.073,0.871,0.869,330.8,333.2,3.088,2.944,0.9,-2.0,19.59,24.53,-65.15,-68.86,0.029,0.023,106.30,108.62,0.259,0.250,0.068,0.060,0.031,0.047,0.119,0.196
57,110.440,111.065,1.235,1.240,97.17,96.77,63.97,63.31,36.03,36.69,7.59,10.83,63.92,59.87,28.48,29.30,28.81,28.81,1.137,1.141,0.917,0.958,367.4,356.2,3.235,3.109,-1.1,-0.1,23.66,24.30,-74.67,-69.17,0.025,-0.027,106.15,107.02,0.267,0.268,0.058,0.075,0.032,0.046,0.137,0.169
58,111.655,112.300,1.215,1.235,98.77,97.17,66.26,63.16,33.74,36.84,9.94,10.26,63.35,59.62,26.71,30.13,27.45,27.45,1.118,1.089,0.917,0.883,360.5,352.9,3.199,3.052,-0.8,3.4,22.37,24.80,-69.00,-68.57,0.035,-0.031,108.07,107.74,0.263,0.268,0.066,0.077,0.041,0.052,0.139,0.175
59,112.930,113.550,1.275,1.250,94.12,96.00,63.14,64.80,36.86,35.20,14.91,9.88,57.76,61.11,27.33,29.01,27.94,27.94,1.077,1.009,0.878,0.835,341.2,354.9,3.011,2.969,-2.7,-0.5,20.59,26.01,-69.91,-68.47,0.044,-0.020,106.55,109.84,0.250,0.257,0.054,0.068,0.034,0.051,0.134,0.177
60,114.165,114.775,1.235,1.225,97.17,97.96,63.56,62.45,36.44,37.55,10.19,9.80,59.87,59.48,29.94,30.72,25.51,25.51,1.103,1.054,0.935,0.881,367.1,373.9,3.197,3.060,-1.3,3.2,23.49,25.19,-75.14,-72.04,0.064,-0.046,109.07,108.86,0.269,0.261,0.062,0.062,0.036,0.041,0.143,0.188
61,115.400,116.030,1.235,1.255,97.17,95.62,62.75,63.75,37.25,36.25,9.68,8.75,61.94,60.00,28.39,31.25,27.60,27.60,0.996,0.909,0.832,0.741,353.0,345.9,2.868,2.669,1.1,-6.0,18.58,24.61,-70.15,-70.18,0.049,-0.029,108.42,113.11,0.256,0.245,0.059,0.051,0.042,0.033,0.119,0.184
62,116.650,117.265,1.250,1.235,96.00,97.17,64.00,63.16,36.00,36.84,8.75,10.90,60.62,58.33,30.62,30.77,21.86,21.86,1.110,1.069,0.884,0.887,363.2,342.6,3.076,2.970,0.1,3.3,19.19,23.73,-74.15,-68.68,0.029,-0.034,105.01,107.01,0.269,0.260,0.061,0.067,0.037,0.042,0.122,0.161
63,117.885,118.455,1.235,1.190,97.17,100.84,58.70,65.13,41.30,34.87,10.34,9.68,67.59,61.94,22.07,28.39,26.67,26.67,1.054,1.155,0.929,0.960,357.1,338.9,2.952,3.157,-0.6,1.3,20.59,26.41,-67.53,-67.26,0.070,-0.079,108.25,107.58,0.262,0.260,0.072,0.075,0.049,0.059,0.129,0.184
64,119.085,119.690,1.200,1.235,100.00,97.17,61.25,65.18,38.75,34.82,8.16,13.04,60.54,56.52,31.29,30.43,26.75,26.75,1.075,1.089,0.890,0.921,351.0,353.8,3.119,3.076,-0.2,-2.0,20.01,24.75,-72.45,-69.24,0.034,0.023,107.67,106.49,0.262,0.267,0.061,0.073,0.045,0.043,0.127,0.172
