Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
40,112.050,112.600,1.215,1.215,98.77,98.77,63.37,67.49,36.63,32.51,9.74,14.02,62.99,59.76,27.27,26.22,31.12,31.12,1.077,1.139,0.921,0.933,353.6,337.6,3.077,3.182,-3.0,1.5,20.29,23.13,-65.05,-70.46,0.027,-0.041,106.76,106.61,0.257,0.272,0.061,0.074,0.031,0.059,0.108,0.169
41,113.255,113.850,1.205,1.250,99.59,96.00,63.90,61.20,36.10,38.80,7.14,16.34,62.99,62.09,29.87,21.57,23.36,23.36,0.943,1.066,0.827,0.897,371.6,342.4,2.905,3.019,3.5,-0.4,20.43,21.93,-72.20,-67.97,0.032,-0.055,110.84,105.74,0.270,0.262,0.061,0.070,0.030,0.039,0.105,0.142
42,114.475,115.065,1.220,1.215,98.36,98.77,63.11,64.61,36.89,35.39,8.44,11.46,62.99,61.15,28.57,27.39,28.51,28.51,1.013,1.027,0.859,0.860,367.7,363.5,2.990,3.044,-4.0,1.8,21.85,22.86,-68.25,-70.31,0.054,-0.045,108.16,107.35,0.256,0.272,0.056,0.073,0.030,0.046,0.119,0.151
43,115.685,116.250,1.210,1.185,99.17,101.27,64.05,66.24,35.95,33.76,7.74,10.83,64.52,63.06,27.74,26.11,30.61,30.61,1.048,1.083,0.876,0.908,382.9,343.1,3.006,3.093,1.8,1.4,22.23,23.16,-69.28,-65.42,0.042,-0.049,105.96,108.35,0.260,0.255,0.059,0.066,0.034,0.041,0.110,0.163
44,116.910,117.515,1.225,1.265,97.96,94.86,63.27,64.03,36.73,35.97,9.68,14.20,62.58,58.64,27.74,27.16,22.55,22.55,1.051,1.016,0.867,0.843,346.2,343.0,3.070,2.947,-3.1,-1.5,24.04,21.86,-64.91,-68.36,0.053,-0.058,109.04,108.30,0.265,0.258,0.074,0.065,0.053,0.048,0.132,0.156
45,118.085,118.720,1.175,1.205,102.13,99.59,61.28,59.34,38.72,40.66,10.42,10.49,66.67,67.83,22.92,21.68,25.82,25.82,1.074,1.023,0.931,0.881,367.4,337.5,3.095,2.944,-0.1,-1.4,22.80,20.09,-65.40,-69.56,0.040,-0.047,104.46,106.96,0.249,0.271,0.051,0.077,0.025,0.043,0.102,0.138
46,119.305,119.880,1.220,1.160,98.36,103.45,65.98,61.21,34.02,38.79,11.18,9.15,58.39,70.42,30.43,20.42,26.21,26.21,0.980,1.044,0.851,0.886,350.5,343.7,3.036,2.989,-2.5,3.4,17.38,22.34,-71.15,-64.41,0.019,-0.050,107.00,108.89,0.251,0.244,0.051,0.061,0.027,0.028,0.097,0.148
47,120.545,121.110,1.240,1.230,96.77,97.56,62.50,66.67,37.50,33.33,6.45,14.02,61.94,57.32,31.61,28.66,28.93,28.93,1.210,1.039,0.943,0.869,368.7,320.5,3.165,2.896,3.9,-0.4,20.97,21.66,-74.76,-68.99,0.047,-0.047,104.54,107.21,0.269,0.242,0.060,0.046,0.031,0.026,0.119,0.147
48,121.755,122.345,1.210,1.235,99.17,97.17,62.81,64.37,37.19,35.63,6.58,13.84,63.82,57.23,29.61,28.93,27.23,27.23,1.095,1.082,0.922,0.898,376.2,342.8,3.029,3.086,1.3,1.2,22.56,22.13,-70.60,-69.97,0.011,-0.020,105.67,106.26,0.266,0.267,0.060,0.071,0.029,0.042,0.112,0.156
49,122.930,123.540,1.175,1.195,102.13,100.42,64.68,66.53,35.32,33.47,8.55,10.06,61.84,60.38,29.61,29.56,32.67,32.67,1.171,1.058,0.965,0.865,365.1,360.3,3.130,2.994,-4.3,-4.8,20.24,21.33,-72.50,-67.85,0.030,-0.013,105.23,106.11,0.261,0.257,0.052,0.065,0.024,0.035,0.103,0.148
50,124.185,124.790,1.255,1.250,95.62,96.00,64.54,60.80,35.46,39.20,12.35,14.47,61.73,63.82,25.93,21.71,19.26,19.26,1.230,1.055,1.017,0.876,367.2,347.9,3.331,2.983,2.6,8.6,21.02,23.25,-66.60,-70.13,0.025,-0.063,103.86,106.95,0.269,0.265,0.070,0.067,0.034,0.038,0.109,0.145
51,125.405,125.955,1.220,1.165,98.36,103.00,59.43,61.37,40.57,38.63,11.03,11.19,66.21,67.13,22.76,21.68,25.32,25.32,1.046,1.057,0.896,0.891,373.8,335.5,3.087,3.013,-1.1,-0.6,20.18,22.41,-72.81,-67.54,0.030,-0.037,106.05,106.96,0.272,0.258,0.063,0.065,0.035,0.042,0.110,0.149
52,126.590,127.180,1.185,1.225,101.27,97.96,63.29,65.31,36.71,34.69,8.67,13.75,62.67,61.25,28.67,25.00,30.21,30.21,1.008,1.057,0.851,0.904,380.6,350.3,2.979,3.027,-1.7,0.7,18.01,21.53,-71.44,-67.72,0.035,-0.046,105.76,105.83,0.255,0.268,0.050,0.074,0.027,0.043,0.104,0.150
53,127.765,128.350,1.175,1.170,102.13,102.56,66.38,61.11,33.62,38.89,6.41,9.79,62.82,67.13,30.77,23.08,23.55,23.55,1.035,1.131,0.872,0.928,372.5,348.6,3.106,3.173,3.1,-0.7,21.97,22.98,-74.64,-68.63,0.021,-0.025,110.54,106.09,0.278,0.253,0.066,0.058,0.037,0.031,0.114,0.153
54,128.975,129.565,1.210,1.215,99.17,98.77,61.16,62.96,38.84,37.04,12.84,16.99,66.89,63.40,20.27,19.61,27.89,27.89,1.164,1.062,0.974,0.894,351.5,348.0,3.203,3.079,1.5,1.5,21.80,22.21,-66.50,-69.19,0.035,-0.034,105.12,106.71,0.260,0.262,0.060,0.066,0.029,0.036,0.108,0.148
55,130.230,130.765,1.255,1.200,95.62,100.00,63.75,67.50,36.25,32.50,13.12,14.20,59.38,58.64,27.50,27.16,30.08,30.08,0.946,1.054,0.816,0.905,347.9,349.7,2.899,3.109,-1.8,3.1,20.21,20.08,-68.97,-69.91,0.019,-0.018,111.41,106.67,0.268,0.265,0.064,0.068,0.031,0.033,0.106,0.136
56,131.410,131.960,1.180,1.195,101.69,100.42,63.14,66.11,36.86,33.89,7.38,12.03,61.07,60.76,31.54,27.22,29.41,29.41,1.253,1.057,1.071,0.896,373.8,362.5,3.369,3.098,3.5,-4.6,22.99,22.04,-72.68,-67.93,-0.012,-0.048,103.71,108.87,0.268,0.271,0.060,0.080,0.033,0.043,0.115,0.151
57,132.600,133.155,1.190,1.195,100.84,100.42,63.45,62.34,36.55,37.66,7.28,15.44,63.58,62.42,29.14,22.15,20.33,20.33,1.045,1.188,0.915,1.007,383.9,344.4,3.090,3.257,-2.6,-0.7,22.37,21.94,-71.26,-67.46,-0.041,-0.034,108.03,105.07,0.255,0.258,0.052,0.067,0.033,0.030,0.119,0.144
58,133.805,134.390,1.205,1.235,99.59,97.17,57.68,60.73,42.32,39.27,10.79,15.33,66.19,62.67,23.02,22.00,22.63,22.63,1.036,1.091,0.885,0.912,431.9,369.8,3.044,3.133,-5.4,-2.2,21.17,21.74,-77.10,-68.15,0.022,-0.025,107.03,106.60,0.260,0.248,0.043,0.055,0.029,0.026,0.114,0.149
59,135.020,135.585,1.215,1.195,98.77,100.42,62.55,66.11,37.45,33.89,7.89,10.13,62.50,62.03,29.61,27.85,29.58,29.58,1.138,1.141,0.922,0.947,362.8,361.3,3.187,3.151,0.8,4.8,25.08,23.13,-68.37,-70.60,0.022,-0.044,105.70,105.91,0.268,0.272,0.067,0.072,0.038,0.042,0.128,0.156
60,136.220,136.780,1.200,1.195,100.00,100.42,63.33,66.53,36.67,33.47,9.87,13.84,61.84,59.12,28.29,27.04,30.17,30.17,1.111,1.058,0.919,0.896,353.2,331.6,3.155,3.091,-0.5,1.0,22.58,22.82,-70.01,-67.79,0.028,-0.024,105.66,108.71,0.264,0.262,0.058,0.071,0.030,0.042,0.114,0.160
61,137.430,138.015,1.210,1.235,99.17,97.17,63.22,60.73,36.78,39.27,9.15,16.00,62.09,62.67,28.76,21.33,23.97,23.97,1.042,0.995,0.860,0.829,389.9,367.0,3.044,2.959,0.9,-1.5,22.01,22.38,-72.62,-69.03,0.029,-0.036,107.02,108.68,0.262,0.260,0.053,0.065,0.026,0.038,0.116,0.155
62,138.640,139.195,1.210,1.180,99.17,101.69,64.05,62.29,35.95,37.71,8.39,14.29,62.58,63.95,29.03,21.77,21.25,21.25,1.041,1.030,0.917,0.873,367.8,348.8,3.033,2.997,0.2,-1.5,21.85,22.23,-66.85,-67.99,0.034,-0.039,109.05,106.32,0.261,0.253,0.063,0.061,0.032,0.032,0.115,0.139
63,139.840,140.405,1.200,1.210,100.00,99.17,58.33,67.77,41.67,32.23,11.43,14.63,65.00,57.93,23.57,27.44,34.03,34.03,1.079,1.110,0.885,0.920,387.4,341.8,3.099,3.067,-1.1,0.8,21.87,21.17,-73.61,-68.87,0.051,-0.044,105.67,106.14,0.261,0.266,0.052,0.071,0.026,0.044,0.116,0.148
64,141.030,141.615,1.190,1.210,100.84,99.17,66.81,65.70,33.19,34.30,11.32,15.09,59.75,59.12,28.93,25.79,30.77,30.77,1.080,1.092,0.931,0.927,375.6,349.3,3.155,3.091,-2.4,1.4,22.24,20.97,-71.63,-68.05,0.022,-0.048,105.61,106.24,0.265,0.262,0.058,0.069,0.031,0.039,0.110,0.140
65,142.265,142.835,1.235,1.220,97.17,98.36,64.37,66.80,35.63,33.20,11.32,14.11,60.38,57.67,28.30,28.22,31.45,31.45,0.985,1.089,0.825,0.894,343.2,349.3,2.917,3.138,-1.6,-0.6,20.85,21.78,-68.48,-69.03,0.036,-0.031,109.91,107.43,0.264,0.253,0.068,0.057,0.038,0.029,0.113,0.155
66,143.505,144.100,1.240,1.265,96.77,94.86,64.11,60.87,35.89,39.13,7.55,14.29,63.52,63.64,28.93,22.08,21.99,21.99,1.084,1.144,0.885,0.937,371.2,365.6,3.022,3.206,3.1,2.3,21.73,22.56,-70.43,-71.50,0.016,-0.041,104.99,105.64,0.263,0.281,0.058,0.081,0.026,0.049,0.107,0.149
67,144.710,145.315,1.205,1.215,99.59,98.77,63.07,64.20,36.93,35.80,8.55,10.90,61.18,60.26,30.26,28.85,23.67,23.67,0.920,1.000,0.779,0.847,397.1,328.1,2.802,2.924,3.0,2.0,20.67,20.79,-74.20,-67.64,0.017,-0.030,110.29,109.75,0.273,0.280,0.061,0.088,0.032,0.054,0.113,0.156
68,145.935,146.485,1.225,1.170,97.96,102.56,59.18,65.81,40.82,34.19,10.34,9.09,66.21,62.99,23.45,27.92,30.74,30.74,1.016,0.988,0.866,0.820,379.7,358.6,3.013,2.987,-3.1,2.0,21.83,22.49,-71.39,-69.63,0.026,-0.027,110.85,108.19,0.266,0.271,0.057,0.074,0.033,0.042,0.116,0.144
69,147.155,147.695,1.220,1.210,98.36,99.17,63.52,68.18,36.48,31.82,9.03,15.15,63.23,60.00,27.74,24.85,31.80,31.80,1.123,1.047,0.944,0.885,377.8,336.7,3.127,3.050,-1.7,-0.0,20.83,21.36,-67.73,-67.56,0.039,-0.036,104.90,106.73,0.261,0.258,0.059,0.066,0.031,0.040,0.113,0.145
70,148.350,148.935,1.195,1.240,100.42,96.77,64.02,66.13,35.98,33.87,8.50,14.02,62.09,58.54,29.41,27.44,23.55,23.55,1.125,1.030,0.949,0.863,371.8,338.1,3.180,3.009,1.4,-1.7,21.38,21.01,-71.38,-70.02,0.028,-0.030,104.84,107.28,0.263,0.258,0.055,0.060,0.027,0.029,0.112,0.145
