Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
39,70.080,70.675,1.110,1.140,108.11,105.26,64.41,56.14,35.59,43.86,11.89,10.16,60.14,64.06,27.97,25.78,22.67,22.67,1.096,1.193,1.087,1.049,311.3,400.8,3.170,3.254,-0.3,0.8,25.22,12.90,-57.34,-70.74,0.035,-0.060,107.01,108.00,0.287,0.319,0.071,0.075,0.046,0.033,0.160,0.094
40,71.205,71.755,1.125,1.080,106.67,111.11,67.11,57.41,32.89,42.59,12.58,8.06,58.28,66.13,29.14,25.81,27.56,27.56,1.151,1.070,0.958,0.999,352.8,364.9,3.457,3.078,-1.1,-0.7,28.03,15.56,-65.17,-68.33,0.067,-0.017,108.78,105.46,0.343,0.301,0.093,0.065,0.029,0.032,0.123,0.108
41,72.330,72.865,1.125,1.110,106.67,108.11,68.44,64.86,31.56,35.14,15.58,6.94,53.90,61.11,30.52,31.94,23.77,23.77,1.026,0.989,1.002,0.874,364.4,385.3,3.162,3.103,-1.7,3.8,26.39,17.07,-61.63,-72.98,0.034,-0.055,110.61,108.48,0.299,0.297,0.064,0.051,0.050,0.011,0.174,0.094
42,73.445,74.045,1.115,1.180,107.62,101.69,58.74,61.86,41.26,38.14,14.50,6.85,61.83,62.33,23.66,30.82,25.32,25.32,1.122,1.047,0.988,0.901,348.8,383.2,3.197,,5.7,-3.2,27.15,19.95,-57.58,-70.72,0.011,-0.059,105.27,109.35,0.268,0.277,0.047,,0.019,,0.146,
43,74.630,75.215,1.185,1.170,101.27,102.56,63.29,61.97,36.71,38.03,8.00,9.66,62.67,60.69,29.33,29.66,26.46,26.46,1.135,1.145,1.061,0.998,332.0,350.0,3.317,3.047,-0.9,2.8,22.93,18.28,-63.41,-61.28,0.028,-0.069,107.55,107.29,0.311,0.292,0.078,0.072,0.041,0.047,0.153,0.118
44,75.745,76.400,1.115,1.185,107.62,101.27,66.37,57.81,33.63,42.19,9.46,11.68,56.08,59.12,34.46,29.20,26.94,26.94,0.884,0.966,0.772,0.936,339.0,342.2,3.019,,-3.2,2.4,20.47,18.10,-64.78,-56.76,0.057,-0.116,114.82,115.08,0.320,0.235,0.077,,0.018,,0.100,
45,76.970,77.625,1.225,1.225,97.96,97.96,67.76,59.18,32.24,40.82,6.02,11.03,62.65,56.55,31.33,32.41,24.47,24.47,1.100,1.188,1.004,1.039,352.0,414.5,3.290,,3.5,2.8,32.38,34.08,-66.14,-68.22,-0.033,-0.068,113.65,110.87,0.279,0.283,0.038,,0.020,,0.184,
46,78.155,78.720,1.185,1.095,101.27,109.59,66.67,61.64,33.33,38.36,17.72,11.11,51.27,57.78,31.01,31.11,27.56,27.56,1.092,0.905,0.904,0.817,332.5,328.0,3.185,,-1.4,-5.1,29.50,20.67,-62.23,-60.32,0.038,-0.027,106.94,110.69,0.294,0.247,0.063,,0.044,,0.171,
47,79.280,79.855,1.125,1.135,106.67,105.73,64.89,63.88,35.11,36.12,10.96,12.41,58.22,54.48,30.82,33.10,24.18,24.18,0.978,1.177,0.899,1.036,360.0,395.6,3.015,3.381,-1.3,7.5,31.97,19.41,-53.73,-72.97,-0.015,-0.094,113.42,108.75,0.255,0.319,0.049,0.068,0.037,0.037,0.188,0.127
48,80.500,81.090,1.220,1.235,98.36,97.17,57.79,64.37,42.21,35.63,13.48,7.55,63.12,61.64,23.40,30.82,19.07,19.07,1.059,0.993,0.923,0.919,328.4,392.5,,3.054,2.2,-4.5,25.00,13.67,-60.52,-70.87,0.036,-0.103,108.78,115.32,0.283,0.301,,0.060,,0.048,,0.115
49,81.680,82.345,1.180,1.255,101.69,95.62,56.36,54.18,43.64,45.82,11.28,8.82,65.41,66.18,23.31,25.00,18.10,18.10,1.084,1.167,0.963,1.031,362.5,396.6,,3.157,-1.5,-5.3,27.22,11.45,-65.25,-71.82,0.053,-0.070,108.27,105.29,0.297,0.284,,0.041,,0.034,,0.103
