Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
38,117.405,116.825,1.140,1.170,105.26,102.56,62.28,64.53,37.72,35.47,7.75,7.28,61.27,59.60,30.99,33.11,24.15,24.15,1.226,1.240,1.119,1.104,282.6,376.5,3.470,3.467,2.9,-0.6,19.50,21.82,-61.89,-71.70,0.031,-0.060,108.59,106.45,0.236,0.290,0.037,0.044,0.010,0.024,0.152,0.148
39,118.620,118.005,1.215,1.180,98.77,101.69,62.14,60.59,37.86,39.41,6.62,7.69,60.26,55.24,33.11,37.06,23.79,23.79,1.448,1.273,1.167,1.182,389.6,426.2,3.959,3.731,-1.5,1.3,28.22,29.69,-77.93,-80.05,0.023,-0.065,106.56,110.40,0.295,0.302,0.046,0.047,,0.012,0.204,0.200
40,119.870,119.245,1.250,1.240,96.00,96.77,64.00,60.89,36.00,39.11,10.62,11.26,55.62,54.97,33.75,33.77,27.02,27.02,1.387,1.363,1.191,1.079,385.9,421.7,3.762,3.704,2.8,2.6,24.77,29.81,-76.48,-77.46,0.028,-0.047,105.14,108.91,0.289,0.358,0.041,0.099,0.000,0.057,0.172,0.222
41,121.110,120.485,1.240,1.240,96.77,96.77,60.89,63.31,39.11,36.69,11.26,10.83,56.29,54.78,32.45,34.39,22.50,22.50,1.463,1.245,1.189,1.018,370.9,420.0,3.774,3.674,-2.5,-1.3,25.63,25.19,-75.66,-75.08,0.058,-0.057,105.78,108.37,0.338,0.320,0.091,0.061,0.021,0.027,0.180,0.172
42,122.305,121.685,1.195,1.200,100.42,100.00,61.92,62.92,38.08,37.08,8.78,6.62,55.41,56.29,35.81,37.09,25.42,25.42,1.491,1.254,1.234,1.115,400.0,419.1,3.828,3.485,1.5,0.2,26.23,28.12,-79.09,-76.73,0.036,-0.040,105.18,110.69,0.338,0.286,0.087,0.035,0.023,0.026,0.197,0.218
43,123.525,122.885,1.220,1.200,98.36,100.00,61.48,63.33,38.52,36.67,11.33,11.18,54.67,56.58,34.00,32.24,24.70,24.70,1.244,1.413,1.003,1.193,375.7,389.8,3.522,3.820,0.3,-0.4,22.38,26.12,-74.81,-77.83,0.035,0.022,108.28,104.96,0.317,0.301,0.077,0.049,0.011,0.017,0.167,0.181
44,124.720,124.120,1.195,1.235,100.42,97.17,62.34,62.75,37.66,37.25,8.05,10.32,57.72,53.55,34.23,36.13,24.46,24.46,1.501,1.232,1.280,1.095,372.0,415.7,3.975,3.509,-5.0,1.9,27.90,23.71,-74.30,-77.72,0.027,-0.073,105.25,107.80,0.324,0.334,0.083,0.076,0.037,0.024,0.214,0.155
45,125.905,125.285,1.185,1.165,101.27,103.00,61.18,63.09,38.82,36.91,13.79,7.48,53.10,52.38,33.10,40.14,26.12,26.12,1.286,1.372,1.032,1.102,389.9,455.9,3.768,3.897,4.4,0.4,33.69,31.97,-75.32,-79.35,0.031,-0.055,112.61,108.96,0.293,0.334,0.045,0.070,0.015,0.008,0.252,0.182
46,127.120,126.510,1.215,1.225,98.77,97.96,62.96,63.67,37.04,36.33,19.61,17.31,49.02,44.87,31.37,37.82,26.47,26.47,1.345,1.324,1.250,1.126,354.2,462.7,3.758,3.699,-2.2,0.4,28.39,31.24,-73.11,-80.29,0.070,0.029,108.70,108.18,0.313,0.351,0.071,0.087,0.033,0.029,0.224,0.201
47,128.290,127.700,1.170,1.190,102.56,100.84,63.68,64.29,36.32,35.71,12.75,13.07,55.70,50.33,31.54,36.60,27.27,27.27,1.043,1.338,0.911,1.231,385.1,436.8,3.398,3.854,1.7,-0.7,27.79,28.94,-73.76,-79.68,0.060,-0.046,122.37,107.85,0.300,0.350,0.055,0.090,0.020,0.040,0.194,0.201
