Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
81,127.430,126.895,1.125,1.150,106.67,104.35,63.56,62.61,36.44,37.39,11.19,7.64,58.74,59.72,30.07,32.64,23.32,23.32,1.033,0.973,0.924,0.900,372.2,337.9,3.420,3.209,-0.6,1.1,21.99,17.18,-66.71,-68.26,0.047,-0.078,107.08,109.79,0.252,0.267,0.047,0.068,0.018,0.037,0.123,0.111
82,128.555,128.010,1.125,1.115,106.67,107.62,62.22,60.09,37.78,39.91,10.71,7.46,60.71,60.45,28.57,32.09,24.56,24.56,0.910,0.973,0.895,0.896,341.5,365.3,3.095,3.189,-0.4,-0.3,20.39,19.42,-63.25,-66.87,0.037,-0.048,114.71,110.65,0.247,0.260,0.049,0.063,0.027,0.044,0.122,0.134
83,129.695,129.150,1.140,1.140,105.26,105.26,63.16,61.84,36.84,38.16,9.72,7.80,59.72,60.99,30.56,31.21,25.45,25.45,1.138,1.030,1.022,0.938,363.9,336.7,3.528,3.259,-1.0,-0.5,23.30,17.09,-66.22,-65.50,0.036,-0.055,105.61,109.18,0.269,0.267,0.064,0.073,0.029,0.048,0.133,0.127
84,130.820,130.270,1.125,1.120,106.67,107.14,62.67,62.95,37.33,37.05,9.22,7.09,58.87,61.70,31.91,31.21,23.98,23.98,1.156,1.019,1.028,0.955,375.5,344.3,3.629,3.372,1.9,2.4,21.88,15.85,-67.54,-71.35,0.052,-0.054,105.07,107.94,0.274,0.279,0.066,0.071,0.029,0.039,0.125,0.109
85,131.945,131.375,1.125,1.105,106.67,108.60,61.78,61.99,38.22,38.01,7.91,7.30,61.15,59.85,30.94,32.85,25.54,25.54,0.962,1.149,0.896,1.024,350.8,354.0,3.166,3.435,-1.1,-0.1,22.95,18.12,-64.26,-73.67,0.063,-0.045,111.31,104.57,0.259,0.285,0.058,0.075,0.027,0.043,0.132,0.117
86,133.065,132.530,1.120,1.155,107.14,103.90,62.95,62.77,37.05,37.23,9.93,8.28,58.87,60.00,31.21,31.72,24.66,24.66,1.072,1.086,0.967,1.004,356.0,338.3,3.411,3.340,3.1,-3.0,21.11,17.34,-66.02,-71.87,0.073,-0.090,107.92,107.69,0.280,0.273,0.075,0.065,0.038,0.035,0.128,0.110
87,134.195,133.645,1.130,1.115,106.19,107.62,61.06,61.88,38.94,38.12,10.87,7.25,60.14,58.70,28.99,34.06,23.11,23.11,1.022,1.030,0.960,0.943,369.0,348.4,3.419,3.300,-1.0,1.6,23.79,15.85,-60.01,-69.69,0.051,-0.067,108.72,107.66,0.245,0.276,0.050,0.072,0.024,0.038,0.135,0.108
88,135.305,134.770,1.110,1.125,108.11,106.67,62.61,62.22,37.39,37.78,10.07,7.14,61.15,60.71,28.78,32.14,24.66,24.66,0.980,1.028,0.919,0.938,368.2,349.4,3.369,3.294,1.4,-0.9,21.29,16.09,-61.36,-72.92,0.032,-0.050,106.85,109.95,0.251,0.279,0.054,0.072,0.028,0.040,0.120,0.120
89,136.430,135.885,1.125,1.115,106.67,107.62,61.78,61.88,38.22,38.12,8.63,7.25,58.99,62.32,32.37,30.43,23.32,23.32,1.192,1.053,1.066,0.975,360.9,337.4,3.700,3.342,-3.5,-0.1,21.09,15.22,-65.17,-65.76,0.059,-0.063,105.90,106.87,0.267,0.267,0.064,0.070,0.035,0.040,0.131,0.106
90,137.540,137.000,1.110,1.115,108.11,107.62,62.61,61.88,37.39,38.12,8.63,7.25,58.99,58.70,32.37,34.06,23.29,23.29,1.096,1.034,0.948,0.948,363.8,353.1,3.495,3.375,4.1,1.9,20.18,16.62,-63.17,-68.47,0.047,-0.060,106.54,107.60,0.246,0.259,0.047,0.059,0.021,0.037,0.112,0.116
91,138.650,138.095,1.110,1.095,108.11,109.59,61.26,61.19,38.74,38.81,9.56,7.46,63.24,60.45,27.21,32.09,24.66,24.66,1.052,1.018,0.993,0.939,359.9,333.0,3.481,3.303,-2.2,-2.1,23.60,15.96,-53.60,-63.37,0.048,-0.045,106.49,106.04,0.228,0.252,0.049,0.062,0.033,0.035,0.140,0.097
92,139.745,139.210,1.095,1.115,109.59,107.62,62.56,63.23,37.44,36.77,8.76,7.09,60.58,58.16,30.66,34.75,23.18,23.18,0.977,1.003,0.917,0.928,396.0,351.0,3.408,3.294,1.4,-2.0,23.58,13.72,-65.94,-70.75,0.040,-0.056,109.69,107.42,0.256,0.257,0.050,0.055,0.020,0.031,0.123,0.099
93,140.850,140.310,1.105,1.100,108.60,109.09,61.54,60.45,38.46,39.55,11.03,7.52,58.82,61.65,30.15,30.83,24.89,24.89,1.048,1.091,0.959,1.005,353.5,340.3,3.387,3.442,-0.1,6.4,22.25,17.52,-60.75,-63.92,0.031,-0.033,106.74,104.95,0.260,0.250,0.064,0.056,0.036,0.029,0.136,0.111
