Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
40,84.575,84.030,1.100,1.120,109.09,107.14,60.91,63.84,39.09,36.16,7.46,6.99,60.45,57.34,32.09,35.66,22.81,22.81,0.945,0.966,0.891,0.887,348.5,382.7,3.190,3.144,-0.5,1.0,19.80,20.04,-60.69,-77.13,0.032,-0.061,112.94,108.72,0.257,0.279,0.071,0.061,0.044,0.047,0.148,0.127
41,85.700,85.170,1.125,1.140,106.67,105.26,59.56,60.53,40.44,39.47,8.21,7.97,64.93,53.62,26.87,38.41,19.63,19.63,1.132,0.981,0.999,0.928,322.8,357.9,3.337,3.184,-1.8,-4.3,20.05,21.60,-58.34,-74.66,0.073,-0.046,106.70,108.35,0.252,0.258,0.070,0.044,0.045,0.028,0.145,0.123
42,86.785,86.240,1.085,1.070,110.60,112.15,61.29,62.15,38.71,37.85,9.77,7.52,56.39,57.14,33.83,35.34,25.79,25.79,0.937,1.076,0.957,0.979,338.5,381.4,3.207,3.407,0.8,7.6,19.22,19.61,-61.63,-73.12,0.057,-0.054,113.40,109.12,0.244,0.267,0.058,0.063,0.040,0.052,0.140,0.149
43,87.915,87.345,1.130,1.105,106.19,108.60,58.41,63.80,41.59,36.20,9.09,7.09,64.39,55.32,26.52,37.59,21.08,21.08,1.123,0.915,0.995,0.867,330.1,374.7,3.338,3.126,1.3,-3.1,19.36,20.07,-55.46,-72.68,0.040,-0.024,105.53,108.74,0.227,0.256,0.054,0.045,0.036,0.023,0.144,0.117
44,89.035,88.460,1.120,1.115,107.14,107.62,58.93,63.23,41.07,36.77,9.09,7.09,59.09,56.03,31.82,36.88,21.49,21.49,1.022,0.954,1.034,0.903,331.6,363.7,3.145,3.211,-2.0,2.3,20.42,20.38,-61.54,-73.07,0.053,-0.049,107.83,113.34,0.240,0.281,0.055,0.069,0.028,0.047,0.135,0.143
45,90.170,89.600,1.135,1.140,105.73,105.26,57.71,61.84,42.29,38.16,7.63,7.09,59.54,57.45,32.82,35.46,20.63,20.63,1.164,1.103,0.962,0.983,320.9,338.9,3.279,3.227,0.6,-1.7,21.04,17.10,-61.80,-71.03,0.100,-0.076,109.14,108.13,0.271,0.250,0.082,0.045,0.057,0.028,0.152,0.106
46,91.260,90.715,1.090,1.115,110.09,107.62,59.17,63.68,40.83,36.32,9.30,7.04,57.36,59.15,33.33,33.80,22.62,22.62,0.958,1.021,0.929,0.940,311.6,366.0,3.032,3.318,1.2,1.6,16.07,20.14,-55.60,-66.24,0.045,-0.046,106.50,108.96,0.232,0.248,0.057,0.055,0.037,0.042,0.121,0.138
47,92.370,91.820,1.110,1.105,108.11,108.60,60.81,62.90,39.19,37.10,7.41,7.19,59.26,57.55,33.33,35.25,20.93,20.93,1.159,1.005,1.009,0.968,352.9,362.6,3.553,3.179,0.1,-2.5,19.02,18.81,-65.32,-73.58,0.053,-0.062,105.51,108.62,0.256,0.262,0.058,0.051,0.032,0.040,0.134,0.129
48,93.445,92.895,1.075,1.075,111.63,111.63,60.47,61.40,39.53,38.60,8.46,7.58,60.00,53.79,31.54,38.64,23.18,23.18,0.903,1.006,0.883,0.965,340.6,360.7,3.147,3.242,1.2,1.1,19.16,16.60,-61.11,-72.51,0.034,-0.075,116.87,109.57,0.258,0.257,0.074,0.046,0.053,0.023,0.154,0.110
49,94.545,93.995,1.100,1.100,109.09,109.09,61.36,61.82,38.64,38.18,8.15,7.35,61.48,53.68,30.37,38.97,24.55,24.55,1.018,1.098,1.005,0.998,350.6,340.8,3.300,3.333,-0.4,-3.4,17.76,19.44,-62.52,-73.75,0.032,-0.047,107.68,106.52,0.242,0.247,0.051,0.035,0.026,0.018,0.122,0.114
50,95.625,95.095,1.080,1.100,111.11,109.09,60.19,63.18,39.81,36.82,7.69,7.91,64.62,56.12,27.69,35.97,22.33,22.33,0.920,1.018,0.882,0.941,313.7,345.1,3.104,3.351,-1.8,2.4,17.30,17.80,-53.35,-73.65,0.032,-0.039,112.54,105.32,0.227,0.261,0.055,0.052,0.039,0.032,0.128,0.112
